ListingKey,ListingNumber,ListingCreationDate,CreditGrade,Term,LoanStatus,ClosedDate,BorrowerAPR,BorrowerRate,LenderYield,ProsperRating (numeric),ProsperScore,ListingCategory (numeric),BorrowerState,Occupation,EmploymentStatus,EmploymentStatusDuration,IsBorrowerHomeowner,CurrentlyInGroup,CreditScoreRangeLower,CreditScoreRangeUpper,FirstRecordedCreditLine,CurrentCreditLines,OpenCreditLines,TotalCreditLinespast7years,OpenRevolvingAccounts,OpenRevolvingMonthlyPayment,InquiriesLast6Months,TotalInquiries,CurrentDelinquencies,AmountDelinquent,DelinquenciesLast7Years,PublicRecordsLast10Years,PublicRecordsLast12Months,RevolvingCreditBalance,BankcardUtilization,AvailableBankcardCredit,TotalTrades,TradesNeverDelinquent (percentage),TradesOpenedLast6Months,DebtToIncomeRatio,IncomeRange,IncomeVerifiable,StatedMonthlyIncome,TotalProsperLoans,TotalProsperPaymentsBilled,OnTimeProsperPayments,ProsperPaymentsLessThanOneMonthLate,ProsperPaymentsOneMonthPlusLate,ProsperPrincipalBorrowed,ProsperPrincipalOutstanding,ScorexChangeAtTimeOfListing,LoanCurrentDaysDelinquent,LoanFirstDefaultedCycleNumber,LoanMonthsSinceOrigination,LoanOriginalAmount,LoanOriginationDate,LoanOriginationQuarter,MemberKey,MonthlyLoanPayment,LP_CustomerPayments,LP_CustomerPrincipalPayments,LP_InterestandFees,LP_ServiceFees,LP_CollectionFees,LP_GrossPrincipalLoss,LP_NetPrincipalLoss,LP_NonPrincipalRecoverypayments,PercentFunded,Recommendations,InvestmentFromFriendsCount,InvestmentFromFriendsAmount,Investors
00C93432339486813854DA5,408627,18:38.8,D,36,Chargedoff,2009/5/16 0:00,0.37453,0.35,0.34,,,7,FL,Analyst,Full-time,182,TRUE,FALSE,600,619,1994/2/28 0:00,2,2,26,2,0,1,14,2,33036,38,1,1,0,0,0,23,0.52,0,0.03,"$50,000-74,999",TRUE,4419.75,,,,,,,,,1880,8,65,2800,2008/10/15 0:00,Q4 2008,77123385331066418E474EA,126.66,253.32,90.79,162.53,-4.64,0,2709.21,2709.21,0,1,0,0,0,41
3C573384268565547892AFF,111970,04:29.3,HR,36,Chargedoff,2008/7/1 0:00,0.24507,0.23,0.22,,,0,,Other,Full-time,1,FALSE,TRUE,540,559,2001/3/9 0:00,3,3,10,2,70,4,15,3,3586,8,0,0,2705,1.2,0,6,0.42,0,0.15,"$50,000-74,999",TRUE,5416.666667,,,,,,,,,2199,15,83,6001,2007/4/2 0:00,Q2 2007,B16033805294832124A0CB4,232.3,2555.3,1440.9,1114.4,-41.33,-39.49,4560.11,4560.1,0,1,2,2,6101,34
46553580674004427432D1D,801950,54:45.6,,36,Chargedoff,2014/2/1 0:00,0.18725,0.1509,0.1409,5,6,1,IL,Police Officer/Correction Officer,Employed,154,FALSE,FALSE,720,739,1999/3/15 0:00,12,12,29,10,279,3,4,1,99,0,0,0,6402,0.27,16435,28,1,2,0.5,"$25,000-49,999",TRUE,2715.666667,3,12,12,0,0,22000,0.01,42,159,7,8,10000,2013/7/2 0:00,Q3 2013,CE20348205659880033BCCE,347.09,690.0458,523.89,166.1558,-11.29,0,9476.11,9476.11,0,1,0,0,0,1
3D883561364240807064C3D,655984,39:46.6,,60,Chargedoff,2013/12/30 0:00,0.12992,0.1076,0.0976,7,9,1,CA,Other,Employed,69,FALSE,FALSE,720,739,1998/12/24 0:00,2,2,12,2,280,0,1,1,15882,5,0,0,10094,0.61,6529,12,0.83,0,0.13,"$25,000-49,999",TRUE,3791.666667,,,,,,,,,192,14,17,10000,2012/10/30 0:00,Q4 2012,23123561081913012DE0719,216.23,1963.61,1202.51,761.1,-70.73,0,8797.49,8797.49,0,1,0,0,0,137
011735172129092481748A3,510659,59:45.0,,36,Chargedoff,2012/4/24 0:00,0.35643,0.3199,0.3099,1,2,3,OH,Engineer - Mechanical,Self-employed,35,TRUE,FALSE,700,719,1984/1/1 0:00,8,9,27,7,1316,0,2,3,1975,9,7,2,3693,0.03,100131,23,0.45,0,,"$50,000-74,999",FALSE,5750,,,,,,,,,807,10,33,3151,2011/6/24 0:00,Q2 2011,8AA835183082988226AB120,137.21,656.05,211.87,444.18,-3.65,0,2938.78,2938.78,0,0.7876,0,0,0,55
00DC35580759283056D6711,647076,36:48.9,,36,Chargedoff,2013/8/2 0:00,0.2706,0.2324,0.2224,3,3,7,OH,Professional,Employed,121,TRUE,FALSE,680,699,1983/8/20 0:00,12,13,51,11,1163,0,3,2,443,0,0,0,64876,0.87,9034,49,0.96,0,,"$50,000-74,999",FALSE,5416.666667,1,11,10,1,0,4000,0.03,-76,342,10,17,15000,2012/10/2 0:00,Q4 2012,15EE3382647107758C2EE30,582.52,3897.6,2445.39,1452.21,-30.97,0,12554.61,12554.61,0,1,0,0,0,326
323C3521252949704C6B198,517079,34:44.2,,36,Chargedoff,2012/2/21 0:00,0.27467,0.2399,0.2299,3,4,7,OH,Nurse (LPN),Full-time,305,TRUE,FALSE,660,679,1991/12/1 0:00,10,7,44,4,209,1,3,4,9778,15,0,0,4944,0.41,1587,42,0.9,0,0.37,"$25,000-49,999",TRUE,4130.416667,2,67,67,0,0,16000,140.31,-66,870,7,32,2200,2011/7/22 0:00,Q3 2011,8C0333953226180529B34FE,86.3,172.6,166.82,5.78,-0.24,0,2033.18,2033.18,0,1,0,0,0,2
02F73423672949966CF27EE,355686,25:21.5,C,36,Chargedoff,2009/7/1 0:00,0.37453,0.35,0.34,,,3,MO,Civil Service,Full-time,122,TRUE,FALSE,660,679,1995/8/9 0:00,7,7,41,6,713,2,8,1,107,2,0,0,27026,0.99,468,31,0.9,0,0.24,"$50,000-74,999",TRUE,4166.666667,,,,,,,,,1714,12,69,5000,2008/6/30 0:00,Q2 2008,52733412357529492258A22,226.18,1583.26,607.33,975.93,-27.88,0,4392.67,4392.67,859.72,1,0,0,0,61
3E5D33864937239346789A5,123767,01:41.1,B,36,Chargedoff,2008/4/23 0:00,0.15613,0.149,0.139,,,0,FL,Professional,Full-time,72,TRUE,FALSE,680,699,1981/12/1 0:00,11,8,21,9,218,0,4,1,959,0,0,0,11454,0.56,8746,19,0.71,0,0.19,"$75,000-99,999",TRUE,6599.666667,,,,,,,,,2268,12,83,20000,2007/4/24 0:00,Q2 2007,7ED83386317597869FF88DE,692.33,4846.31,3218.2,1628.11,-109.28,0,16781.79,16781.8,0,1,0,0,0,362
44143392056889191C1998A,154183,21:22.7,C,36,Chargedoff,2009/11/1 0:00,0.2421,0.2346,0.2146,,,0,WA,Fireman,Full-time,38,TRUE,TRUE,640,659,1991/7/18 0:00,11,10,30,6,456,7,11,1,30,0,1,0,22365,0.72,2207,24,0.66,3,0.42,"$50,000-74,999",TRUE,5583.333333,,,,,,,,,1711,1,80,15000,2007/7/3 0:00,Q3 2007,DFE1338736357605977711C,584.25,13285.21,6241.52,7043.69,-82.62,-2394.37,8763.57,8758.48,2680,1,0,0,0,142
0A623425302359416A5D971,366357,48:40.6,C,36,Chargedoff,2010/10/23 0:00,0.19146,0.1695,0.1595,,,1,CA,Professional,Full-time,1,TRUE,FALSE,660,679,1991/5/1 0:00,10,8,22,4,66,1,36,1,1491,12,0,0,1014,0.61,646,19,0.7,1,0.09,"$100,000+",TRUE,12083.33333,1,22,22,0,0,2900,1430.7,80,1326,27,68,4000,2008/7/23 0:00,Q3 2008,48D53366289641032D95648,142.51,3180.2,2093.32,1086.88,-64.22,-34,1925.39,1848.38,116.7,1,0,0,0,69
2ED8341560971934366D70A,297213,11:14.7,AA,36,Chargedoff,2010/12/3 0:00,0.18726,0.18,0.18,,,1,MD,Sales - Commission,Self-employed,108,FALSE,FALSE,760,779,1989/3/1 0:00,7,4,21,3,77,2,6,2,311,0,0,0,434,0,9963,18,0.7,2,0.09,"$50,000-74,999",TRUE,5000,,,,,,,,,1315,32,71,6250,2008/4/3 0:00,Q2 2008,856534165679841271528B6,225.95,6100.65,4359.68,1740.97,0,0,1890.32,1890.32,0,1,0,0,0,76
091C338319913340163233E,110839,10:22.9,D,36,Chargedoff,2008/8/5 0:00,0.22744,0.22,0.19,,,0,,Professional,Full-time,84,FALSE,TRUE,620,639,1989/2/9 0:00,9,6,18,5,110,3,12,4,34388,4,1,0,2000,0.14,11900,13,0.8,3,0.12,"$75,000-99,999",TRUE,5383.333333,,,,,,,,,2164,16,83,7000,2007/4/6 0:00,Q2 2007,970D3382264767873B18F65,267.33,2825.55,1674.73,1150.82,-57.53,0,5325.27,5325.27,0,1,0,0,0,160
432535394700954597E4C7F,563580,38:08.5,,36,Chargedoff,2013/3/7 0:00,0.35797,0.3177,0.3077,1,5,7,MD,Other,Other,56,TRUE,FALSE,660,679,1992/5/14 0:00,15,15,33,14,429,0,4,1,184,11,0,0,12772,0.76,3375,27,0.89,0,0.36,"$25,000-49,999",TRUE,2916.666667,,,,,,,,,490,13,24,4000,2012/3/5 0:00,Q1 2012,FEA635414238334586C06BA,173.71,1215.97,510.06,705.91,-22.22,0,3489.94,3489.94,0,1,0,0,0,4
0213355741715986426B09D,633590,09:55.8,,36,Chargedoff,2013/7/10 0:00,0.32333,0.2839,0.2739,2,8,7,NJ,Civil Service,Employed,294,FALSE,FALSE,640,659,1997/7/31 0:00,11,11,22,3,138,2,4,1,6336,0,0,0,1748,0.4,1438,16,0.7,0,0.13,"$75,000-99,999",TRUE,6833.333333,,,,,,,,,365,10,18,4000,2012/9/10 0:00,Q3 2012,A174355753645111506C009,166.3,831.5,373.08,458.42,-16.16,0,3626.92,3626.92,0,1,0,0,0,6
44B33395991332858695E18,178528,24:49.3,D,36,Chargedoff,2008/9/7 0:00,0.19228,0.185,0.17,,,0,MD,Other,Full-time,50,TRUE,TRUE,600,619,1993/10/22 0:00,6,8,43,7,211,1,13,6,2919,34,1,0,6637,1.04,80,33,0.36,0,0.19,"$50,000-74,999",TRUE,4666.666667,,,,,,,,,2100,1,79,6001,2007/8/9 0:00,Q3 2007,EA663395491474240B411A3,218.46,1731.23,905.32,825.91,-32.91,-90.64,5095.68,5095.68,400,1,0,0,0,137
6DAF3527059785128EB632F,529848,53:15.9,,36,Chargedoff,2012/6/30 0:00,0.27467,0.2399,0.2299,3,4,1,IL,Professional,Employed,47,FALSE,FALSE,700,719,1981/3/1 0:00,4,4,17,3,267,1,10,2,60,0,0,0,6325,1.02,11,12,0.85,1,0.08,"$75,000-99,999",TRUE,6500,1,6,5,1,0,5000,2654.08,-35,740,9,30,2500,2011/9/30 0:00,Q3 2011,668C3510267562713B428E5,98.07,392.28,197.74,194.54,-8.11,0,2302.26,2302.26,0,1,0,0,0,17
302B3541885811372ED42EA,571744,39:17.2,,36,Chargedoff,2012/12/29 0:00,0.24246,0.2049,0.1949,4,6,6,CA,Other,Other,311,TRUE,FALSE,740,759,1991/6/1 0:00,6,6,27,5,242,3,3,2,5190,3,0,0,2116,0.26,5884,25,0.92,0,0.18,"$25,000-49,999",TRUE,3339.333333,,,,,,,,,558,9,24,2000,2012/3/29 0:00,Q1 2012,DAEE3541882588554F004D5,74.83,299.49,171.25,128.24,-2.12,0,1828.75,1828.75,0,1,0,0,0,21
0B5C34738042854656430E6,441714,39:38.1,,36,Chargedoff,2012/1/22 0:00,0.37453,0.35,0.34,1,1,7,VA,Military Enlisted,Full-time,107,FALSE,TRUE,600,619,2001/8/5 0:00,9,9,34,2,155,2,5,7,1333,16,0,0,907,0,0,28,0.5,2,0.44,"$25,000-49,999",TRUE,3577,1,36,34,2,0,2000,0,85,900,24,50,1800,2010/1/22 0:00,Q1 2010,5F3C3371531015972841842,81.42,1521.98,629.43,892.55,-24.48,-5.95,1170.57,1170.57,0,1,0,0,0,24
404F3410515439837B8ED5D,268777,56:24.6,HR,36,Chargedoff,2009/2/1 0:00,0.37453,0.35,0.34,,,1,IL,Medical Technician,Full-time,24,FALSE,FALSE,540,559,1995/5/9 0:00,5,7,26,2,94,1,7,7,1353,11,1,0,1356,1.35,0,19,0.22,0,0.24,"$1-24,999",TRUE,1916.666667,,,,,,,,,1987,12,74,2000,2008/1/31 0:00,Q1 2008,66D13406765037355AE572B,90.47,618.29,215.09,403.2,-11.24,-30.76,1784.91,1784.91,0,1,0,0,0,11
5D543407028595750F616FB,252611,45:43.3,B,36,Chargedoff,2009/5/3 0:00,0.17219,0.165,0.155,,,1,IL,Executive,Full-time,35,FALSE,FALSE,680,699,1989/3/1 0:00,8,8,13,8,734,1,1,1,1130,0,3,0,28465,0.75,9448,11,0.76,0,0.07,"$100,000+",TRUE,15000,,,,,,,,,1893,17,74,10000,2008/1/2 0:00,Q1 2008,16DB34079572395897C76BF,354.04,3864.44,2472.74,1391.7,-84.35,0,7527.28,7527.26,0,1,0,0,0,238
30AF3429895986044EB51C1,391233,08:49.1,E,36,Chargedoff,2009/6/10 0:00,0.37453,0.35,0.34,,,1,NY,Administrative Assistant,Full-time,60,FALSE,FALSE,580,599,1978/4/1 0:00,10,10,35,10,433,1,5,1,4609,32,1,0,16304,0.97,489,28,0.64,1,0.23,"$1-24,999",TRUE,2040,,,,,,,,,1855,10,66,1000,2008/9/9 0:00,Q3 2008,27A3342815935760530C0E3,45.24,180.96,66.88,114.08,-3.26,0,933.12,933.12,0,1,0,0,0,17
03513429725722765AF80DD,392207,12:42.6,HR,36,Chargedoff,2010/6/17 0:00,0.14132,0.12,0.11,,,6,MI,Other,Not employed,49,TRUE,FALSE,540,559,1997/5/21 0:00,9,10,21,0,0,0,2,6,2331,99,0,0,0,0,0,11,0,0,,Not employed,FALSE,0,,,,,,,,,1483,22,66,3000,2008/9/16 0:00,Q3 2008,1CF83429156943599CAA1F4,99.64,1494.6,1110.87,383.73,-31.98,0,1858.81,1889.13,0,1,0,0,0,1
02D13381305761210E9355D,102205,15:39.0,HR,36,Chargedoff,2008/7/1 0:00,0.12462,0.11,0.08,,,0,,Other,Retired,0,FALSE,TRUE,540,559,2001/3/12 0:00,19,15,31,14,811,1,9,4,2559,4,2,0,24168,1,217,29,0.8,0,0.35,"$25,000-49,999",TRUE,3625,,,,,,,,,2199,16,84,1200,2007/3/2 0:00,Q1 2007,3A893378585204123ACBDB0,39.29,401.05,307.02,94.03,-8.07,0,892.99,892.98,0,1,0,0,0,8
8.21E+255,538675,20:21.4,,60,Chargedoff,2013/7/21 0:00,0.23477,0.2151,0.2051,5,8,1,CA,Sales - Retail,Employed,48,FALSE,FALSE,680,699,1994/1/1 0:00,5,5,25,6,150,3,7,2,311,0,0,0,1728,0.08,1830,19,0.9,1,0.07,"$75,000-99,999",TRUE,8166.666667,,,,,,,,,354,20,28,15000,2011/11/21 0:00,Q4 2011,1B8735214258598045346E8,410.12,6151.8,2392.38,3759.42,-174.79,0,12607.62,12607.62,0,1,0,0,0,279
03003431712465732EFF6ED,400502,53:22.7,D,36,Chargedoff,2011/12/30 0:00,0.37453,0.35,0.34,,,7,IN,Clerical,Full-time,231,FALSE,TRUE,620,639,1991/2/5 0:00,6,5,20,3,33,4,9,7,698,0,1,0,4310,0.89,107,15,0.45,1,0.28,"$1-24,999",TRUE,2033.333333,,,,,,,,,892,39,66,2000,2008/9/30 0:00,Q3 2008,E0C93381516914136BEFAD8,90.47,3075.98,1695.79,1380.19,-37.51,-30.76,304.22,266.5,52.76,1,0,0,0,20
31AE35509388137910C37DE,602829,07:59.3,,36,Chargedoff,2013/5/31 0:00,0.25259,0.2148,0.2048,4,7,1,NJ,Chemist,Employed,17,FALSE,FALSE,660,679,2000/3/20 0:00,3,4,41,3,65,0,4,2,692,34,0,0,1287,0.23,4113,37,0.76,0,0.17,"$50,000-74,999",TRUE,4500,,,,,,,,,405,12,21,9000,2012/6/29 0:00,Q2 2012,45FE3550399795202399E31,341.3,2017.8,1092.95,924.85,-33.12,0,7907.05,7907.05,0,1,0,0,0,21
0B0F35532792943787AD9BF,617164,46:45.2,,36,Chargedoff,2013/10/30 0:00,0.35797,0.3177,0.3077,1,5,7,TX,Professional,Employed,144,TRUE,FALSE,680,699,2004/8/18 0:00,3,3,7,3,285,1,1,1,43761,20,0,0,1226,0.43,284,6,0.5,0,0.08,"$50,000-74,999",TRUE,5891.666667,,,,,,,,,253,15,20,4000,2012/7/31 0:00,Q3 2012,430735525733689185F830C,173.71,1692.1,678.22,1013.88,-19.93,0,3321.78,3321.78,0,1,0,0,0,4
315A341956819096818ACF0,313258,51:39.0,HR,36,Chargedoff,2008/9/23 0:00,0.22237,0.2,0.19,,,7,NC,Sales - Retail,Full-time,2,FALSE,FALSE,520,539,1988/2/12 0:00,2,2,24,2,35,0,7,17,7983,14,0,0,668,0.89,82,14,0.22,1,0.08,"$1-24,999",TRUE,1000,,,,,,,,,2115,5,71,1200,2008/4/25 0:00,Q2 2008,010434177852874428479BC,44.6,0,0,0,0,0,1200,1200,0,1,0,0,0,1
0B753428479778796C9E6F7,377867,21:27.0,HR,36,Chargedoff,2009/1/22 0:00,0.37453,0.35,0.34,,,1,ID,Other,Full-time,8,FALSE,TRUE,520,539,1989/6/1 0:00,1,0,32,0,0,3,16,22,15995,4,5,0,0,0,0,9,0.3,0,0.06,"$1-24,999",TRUE,2000,,,,,,,,,1996,5,67,2780,2008/8/21 0:00,Q3 2008,6E133395416997339995810,125.76,0,0,0,0,0,2780,2780,0,1,1,0,0,23
31733519731607886DB4027,513657,50:21.1,,36,Chargedoff,2014/2/20 0:00,0.22362,0.1899,0.1799,4,7,2,TX,Accountant/CPA,Employed,378,TRUE,TRUE,700,719,1977/10/10 0:00,17,15,41,12,566,0,3,1,1091,88,0,0,17725,0.6,10887,37,0.81,0,0.32,"$50,000-74,999",TRUE,6069,2,47,45,2,0,10250,3945.4,24,141,31,32,9500,2011/7/20 0:00,Q3 2011,00BD3370011657140E8D7DB,348.18,9022.68,5855.21,3167.47,-159.47,-201.93,3644.79,3644.79,0,1,0,0,0,39
3526354684840359121BF08,584938,44:29.0,,60,Chargedoff,2014/2/8 0:00,0.28704,0.261,0.251,3,4,1,FL,Clerical,Employed,203,FALSE,FALSE,620,639,2000/7/31 0:00,10,8,28,5,250,0,2,1,51,0,0,0,6939,0.65,2689,23,0.83,1,0.37,"$25,000-49,999",TRUE,3416.666667,1,9,9,0,0,3500,2912.12,-60,152,21,22,5000,2012/5/9 0:00,Q2 2012,A4C2352117082597806DEC5,150,2445,603.68,1841.32,-47.81,-36,4396.32,4396.32,0,1,0,0,0,47
8B1A341101618030825E9A8,274554,04:21.2,C,36,Chargedoff,2009/1/6 0:00,0.29223,0.2689,0.2589,,,2,NC,Teacher,Full-time,89,TRUE,FALSE,640,659,1988/3/1 0:00,9,5,29,2,203,1,3,1,99,5,0,0,10502,0.87,1498,16,0.68,1,0.28,"$25,000-49,999",TRUE,3625,,,,,,,,,2012,11,73,5000,2008/2/5 0:00,Q1 2008,7DF9340997196454682C4BD,203.83,1177.98,414.95,763.03,-27.18,-138.6,4585.05,4585.05,0,1,0,0,0,32
2A953516953539076288373,508182,43:09.4,,36,Chargedoff,2013/9/7 0:00,0.35643,0.3199,0.3099,2,4,1,FL,Other,Employed,2,FALSE,FALSE,640,659,2003/8/15 0:00,8,8,15,5,99,2,5,1,346,0,0,0,2759,0.78,656,13,0.73,1,,"$25,000-49,999",FALSE,2100,,,,,,,,,306,27,33,3500,2011/6/8 0:00,Q2 2011,671735166192187092D3203,152.42,3415.82,1753,1662.82,-50.56,-103.65,1747,1747,0,1,0,0,0,74
0D7D3390234469063D1AF62,145463,20:52.5,E,36,Chargedoff,2008/9/27 0:00,0.22489,0.21,0.19,,,0,,Attorney,Full-time,43,TRUE,TRUE,580,599,1993/6/1 0:00,19,6,63,6,155,1,8,2,2160,39,0,0,3127,1,203,38,0.33,0,0.17,"$75,000-99,999",TRUE,6500,,,,,,,,,1866,15,81,6000,2007/6/29 0:00,Q2 2007,32E53388027326221BEC5DC,226.05,2330.36,1327.68,1002.68,-45.49,0,4672.33,4357.08,1473.76,1,0,0,0,187
2.79934E+22,99379,28:45.5,HR,36,Chargedoff,2009/6/2 0:00,0.30962,0.29,0.28,,,0,OR,Truck Driver,Full-time,11,FALSE,TRUE,520,539,2001/7/6 0:00,5,4,15,2,30,0,10,8,2274,1,11,0,449,1,0,6,0.26,1,0.26,"$25,000-49,999",TRUE,2816.666667,,,,,,,,,1863,28,84,1000,2007/3/1 0:00,Q1 2007,FCAC33810910851359D8050,41.91,877.02,405.57,471.45,-11.79,-35.62,594.43,594.43,0,1,0,0,0,11
8B9F3415158940200757908,285543,59:21.1,HR,36,Chargedoff,2008/10/10 0:00,0.37453,0.35,0.34,,,7,MT,Other,Full-time,35,FALSE,FALSE,520,539,1987/6/17 0:00,1,2,37,0,0,4,7,25,29183,44,1,0,0,0,0,14,0.1,0,0.08,"$1-24,999",TRUE,1300.833333,,,,,,,,,2098,7,72,1000,2008/3/11 0:00,Q1 2008,7715340859721756854C409,45.24,90.48,32.43,58.05,-1.66,0,967.57,967.57,0,1,0,0,0,15
